Here are 50 motivational quotes translated into Nigerian Pidgin English and formatted as a CSV file:

number,quote,pidgin,author
1,"The only way to do great work is to love what you do.","Na only way to do great work be say make you love wetin you dey do.",Steve Jobs
2,"Your time is limited, so don’t waste it living someone else’s life. ","Your time dey limited, so no waste am dey live another person life.",Steve Jobs
3,"If you look at what you have in life, you’ll always have more. If you look at what you don’t have in life, you’ll never have enough.","If you look wetin you get for life, you go always get more. If you look wetin you no get for life, you no go ever get enough.",Oprah Winfrey
4,"You must expect great things of yourself before you can do them.","You must expect great things from yourself before you fit do dem.",Michael Jordan
5,"Don’t limit yourself. Many people limit themselves to what they think they can do. You can go as far as your mind lets you. What you believe, remember, you can achieve.","No limit yourself. Many people dey limit themselves to wetin dem think say dem fit do. You fit go as far as your mind go let you. Wetin you believe, remember, na im you fit achieve.",Mary Kay Ash
6,"The best revenge is massive success.","Di best revenge na massive success.",Frank Sinatra
7,"Eighty percent of success is showing up.","Eighty percent of success na to show up.",Woody Allen
8,"Your positive action combined with positive thinking results in success.","Your positive action wey you combine with positive thinking go bring success.",Shiv Khera
9,"You must do the things you think you cannot do.","You must do di things wey you think say you no fit do.",Eleanor Roosevelt
10,"Strive not to be a success, but rather to be of value.","No try to be successful, but try to get value.",Albert Einstein
11,"Successful people do what unsuccessful people are not willing to do. Don’t wish it were easier, wish you were better.","Successful people dey do wetin unsuccessful people no dey willing to do. No dey wish say e go dey easy, wish say you go beta pass.",Jim Rohn
12,"No one can make you feel inferior without your consent.","No one fit make you feel inferior without your consent.",Eleanor Roosevelt
13,"Limitations live only in our minds. But if we use our imaginations, our possibilities become limitless.","Limitations dey only for our mind. But if we use our imagination, our possibilities go dey limitless.",Jamie Paolinetti
14,"Don’t let the noise of others' opinions drown out your own inner voice.","No let di noise of odas dia opinion overshadow your own inner voice.",Steve Jobs
15,"All our dreams can come true, if we have the courage to pursue them.","All our dreams fit come true, if we get di courage to pursue dem.",Walt Disney
16,"Do one thing every day that scares you.","Do one thing everyday wey dey fear you.",Eleanor Roosevelt
17,"Happiness is not something readymade. It comes from your own actions.","Happiness no be something wey don ready. E dey come from your own actions.",Dalai Lama 
18,"Every strike brings me closer to the next home run.","Every strike dey bring me closer to di next home run.",Babe Ruth
19,"Believe you can and you’re halfway there.","Believe say you fit do am and you don already reach half way.",Theodore Roosevelt
20,"Everything you’ve ever wanted is on the other side of fear.","Everything wey you don ever want dey for di other side of fear.",George Addair
21,"We become what we think about.","We go become wetin we dey think about.",Earl Nightingale
22,"Twenty years from now you will be more disappointed by the things that you didn’t do than by the ones you did do, so throw off the bowlines, sail away from safe harbor, catch the trade winds in your sails.  Explore, Dream, Discover.","Twenty years from now you go dey more disappointed by di things wey you no do pass di ones you do, so comot di rope wey dey hold you, sail away from safe harbor, catch di trade winds for your sails. Explore, Dream, Discover.",Mark Twain
23,"Life is 10% what happens to me and 90% of how I react to it.","Life na 10% of wetin dey happen to me and 90% of how I dey react to am.",Charles Swindoll
24,"The mind is everything. What you think you become.","Di mind na everything. Wetin you think na im you go become.",Buddha
25,"The best way to predict the future is to create it.","Di best way to predict di future na to create am.",Abraham Lincoln  
26,"You become what you believe.","You go become wetin you believe.",Oprah Winfrey
27,"I didn’t come this far, to only come this far.","I no come dis far, to only come dis far.",Unknown
28,"There are no limits to what you can accomplish, except the limits you place on your own thinking.","No dey limit to wetin you fit achieve, except di limit wey you put for your thinking.",Brian Tracy
29,"You are never too old to set another goal or dream a new dream.","You never too old to set another goal or dream new dream.",C.S Lewis
30,"Don't watch the clock; do what it does. Keep going.","No dey watch clock; do wetin e dey do. Just dey go dey go.",Sam Levenson 
